Date	Time	Open	High	Low	Close	Vol	OI	2009	2010	2011	2012	2013	2014	2015	2016	2017
4/30/2010	17:00	20.523	20.808	20.498	20.657	31088	80406		0.002913046							
5/3/2010	17:00	20.703	20.908	20.548	20.858	22953	81134		0.009730358							
5/4/2010	17:00	20.858	20.868	19.828	19.86	52694	80074		-0.047847349							
5/5/2010	17:00	19.883	19.913	19.098	19.552	61742	77581		-0.01550856							
5/6/2010	17:00	19.533	19.793	19.278	19.533	51535	77085		-0.000971768							
5/7/2010	17:00	19.603	20.708	19.493	20.469	55541	74648		0.047918906							
5/10/2010	17:00	20.593	20.698	20.233	20.57	31061	75100		0.004934291							
5/11/2010	17:00	20.528	21.443	20.423	21.312	55595	78966		0.036071949							
5/12/2010	17:00	21.378	21.753	21.128	21.681	41778	78549		0.017314189							
5/13/2010	17:00	21.548	21.863	21.363	21.517	41261	80541		-0.007564227							
5/14/2010	17:00	21.488	21.753	20.993	21.243	45516	81317		-0.012734117							
5/17/2010	17:00	21.348	21.463	20.753	20.877	35218	82973		-0.017229205							
5/18/2010	17:00	20.913	21.163	20.668	20.897	36319	80489		0.000957992							
5/19/2010	17:00	21.028	21.028	19.938	20.133	55949	78294		-0.036560272							
5/20/2010	17:00	20.223	20.348	19.503	19.733	50571	77952		-0.019867879							
5/21/2010	17:00	19.648	19.913	19.428	19.669	38170	71968		-0.003243298							
5/24/2010	17:00	19.673	20.098	19.668	20.018	25801	71228		0.017743658							
5/25/2010	17:00	19.933	20.008	19.548	19.799	34394	70975		-0.010940154							
5/26/2010	17:00	19.998	20.428	19.948	20.324	36084	71721		0.026516491							
5/27/2010	17:00	20.078	20.598	20.028	20.486	27464	70554		0.007970872							
5/28/2010	17:00	20.538	20.663	20.258	20.44	25591	69034		-0.002245436							
6/1/2010	17:00	20.583	20.753	20.283	20.569	30096	69808		0.006311155							
6/2/2010	17:00	20.458	20.528	20.108	20.333	26784	69391		-0.011473577							
6/3/2010	17:00	20.383	20.493	19.843	19.949	28001	67943		-0.018885556							
6/4/2010	17:00	19.983	20.053	19.303	19.317	41852	65422		-0.031680786							
6/7/2010	17:00	19.463	20.495	19.213	20.495	47701	61718		0.060982554							
6/8/2010	17:00	20.168	20.508	20.103	20.207	36706	59078		-0.014052208							
6/9/2010	17:00	20.343	20.393	20.113	20.369	32719	56270		0.008017024							
6/10/2010	17:00	20.148	20.463	19.923	20.369	32650	54810		0							
6/11/2010	17:00	20.268	20.553	20.088	20.249	34038	51297		-0.005891305							
6/14/2010	17:00	20.268	20.596	20.218	20.429	22851	50761		0.008889328							
6/15/2010	17:00	20.248	20.703	20.238	20.596	23705	50016		0.008174654							
6/16/2010	17:00	20.603	20.794	20.398	20.459	25177	47558		-0.006651777							
6/17/2010	17:00	20.468	21.202	20.333	21.202	32131	47921		0.036316536							
6/18/2010	17:00	20.758	21.293	20.703	21.202	36345	47921		0							
6/21/2010	17:00	21.218	21.478	20.668	20.728	42481	41497		-0.022356381							
6/22/2010	17:00	20.733	21.003	20.608	20.818	33172	38844		0.004341953							
6/23/2010	17:00	20.823	20.978	20.328	20.498	41028	29829		-0.015371313							
6/24/2010	17:00	20.518	20.828	20.188	20.693	45429	24409		0.009513123							
6/25/2010	17:00	20.688	21.148	20.608	21.073	45714	15311		0.018363698							
6/28/2010	17:00	21.103	21.248	20.643	20.738	30687	7173		-0.01589712							
6/29/2010	17:00	20.748	20.793	20.388	20.513	13683	2406		-0.010849648							
6/30/2010	17:00	20.503	20.793	20.448	20.681	24481	72648		0.008189928							
7/1/2010	17:00	20.623	20.663	19.708	19.763	45720	72047		-0.044388569							
7/2/2010	17:00	19.788	20.088	19.608	19.863	33377	67501		0.005059961							
7/6/2010	17:00	19.753	20.008	19.588	19.823	27525	65873		-0.002013794							
7/7/2010	17:00	19.803	20.083	19.538	20.043	26306	66089		0.011098219							
7/8/2010	17:00	20.038	20.173	19.698	19.943	22154	64479		-0.004989273							
7/9/2010	17:00	19.928	20.208	19.803	20.138	17328	64090		0.009777867							
7/12/2010	17:00	20.083	20.128	19.748	19.888	18043	63838		-0.012414341							
7/13/2010	17:00	19.913	20.328	19.843	20.228	20222	63449		0.017095736							
7/14/2010	17:00	20.253	20.463	20.088	20.263	24718	63692		0.001730275							
7/15/2010	17:00	20.293	20.508	20.143	20.318	24741	63530		0.002714307							
7/16/2010	17:00	20.328	20.363	19.703	19.843	30802	63460		-0.023378285							
7/19/2010	17:00	19.813	19.893	19.413	19.583	30019	62988		-0.013102857							
7/20/2010	17:00	19.588	19.753	19.423	19.668	24619	61425		0.004340499							
7/21/2010	17:00	19.658	19.873	19.548	19.648	23881	60407		-0.00101688							
7/22/2010	17:00	19.633	20.173	19.608	20.088	31290	62224		0.022394137							
7/23/2010	17:00	20.108	20.253	20.033	20.098	26282	60407		0.00049781							
7/26/2010	17:00	20.073	20.243	19.948	20.133	19837	60761		0.001741467							
7/27/2010	17:00	20.143	20.208	19.553	19.618	37010	59813		-0.025579894							
